disease_real,url
"melanoma, nodular",http://www.dermatlas.net/images/400/mm22.jpg
"melanoma, superficial spreading",http://www.dermatlas.net/images/400/mfmm8.jpg
"melanoma, superficial spreading",http://www.dermatlas.net/images/400/mfmm6.jpg
"melanoma, lentigo maligna",http://www.dermatlas.net/images/400/mfmm3-THIN-MEL.jpg
"melanoma, superficial spreading",http://www.dermatlas.net/images/400/mfmm23.jpg
"melanoma, superficial spreading",http://www.dermatlas.net/images/400/mfmm2.jpg
"melanoma, nodular",http://www.dermatlas.net/images/400/mfmm19.jpg
"melanoma, superficial spreading",http://www.dermatlas.net/images/400/mfmm18.jpg
"melanoma, superficial spreading",http://www.dermatlas.net/images/400/mfmm15.jpg
"melanoma, acral lentiginous",http://www.dermatlas.net/images/400/mfmm14.jpg
"melanoma, superficial spreading",http://www.dermatlas.net/images/400/mfmm11.jpg
"melanoma, superficial spreading",http://www.dermatlas.net/images/400/mfmm10.jpg
"melanoma, superficial spreading",http://www.dermatlas.net/images/400/mfmm1.jpg
"melanoma, superficial spreading",http://www.dermatlas.net/images/400/MFMM_9.jpg
"melanoma, superficial spreading",http://www.dermatlas.net/images/400/MFMM_6.jpg
"melanoma, nodular",http://www.dermatlas.net/images/400/MFMM_4.jpg
"melanoma, acral lentiginous",http://www.dermatlas.net/images/400/MFMM_24.jpg
"melanoma, nodular",http://www.dermatlas.net/images/400/MFMM_20.jpg
"melanoma, nodular",http://www.dermatlas.net/images/400/MFMM_17.jpg
"melanoma, nodular",http://www.dermatlas.net/images/400/MFMM_16.jpg
"melanoma, superficial spreading",http://www.dermatlas.net/images/400/MFMM_13.jpg
"melanoma, lentigo maligna",http://www.dermatlas.net/images/400/MFMM_12.jpg
"melanoma, superficial spreading",http://www.dermatlas.net/images/400/mfmg21.jpg
"melanoma, in-situ",http://www.dermatlas.net/images/400/melanomainsitydermoscopy.4-4-07.JPG
"melanoma, nodular",http://www.dermatlas.net/images/400/melanoma.jpg
"melanoma, in-situ",http://www.dermatlas.net/images/400/melanoma-in-situ-ju2.jpg
"melanoma, in-situ",http://www.dermatlas.net/images/400/melanoma-in-situ-ju-arm.jpg
"melanoma, acral lentiginous",http://www.dermatlas.net/images/400/melanoma_level_II_.45mm_depth_dermoscopy_2.JPG
"melanoma, acral lentiginous",http://www.dermatlas.net/images/400/melanoma_level_II_.45mm_depth_clinical.JPG
"melanoma, acral lentiginous",http://www.dermatlas.net/images/400/melanoma_level_II_.3mm_depth_clinical.JPG
"melanoma, acral lentiginous",http://www.dermatlas.net/images/400/melanoma_level_II_.3_closeup.JPG
"melanoma, superficial spreading",http://www.dermatlas.net/images/400/Melanoma_6-3.jpg
"melanoma, nodular",http://www.dermatlas.net/images/400/mel1.jpg
"melanoma, nodular",http://www.dermatlas.net/images/400/Malignant-melanoma_5-2.jpg
"melanoma, superficial spreading",http://www.dermatlas.net/images/400/malig.%20melanoma-2.jpg
"melanoma, lentigo maligna",http://www.dermatlas.net/images/400/lmm.jpg
"melanoma, superficial spreading",http://www.dermatlas.net/images/400/ABCD9.jpg
"melanoma, superficial spreading",http://www.dermatlas.net/images/400/ABCD8.jpg
"melanoma, superficial spreading",http://www.dermatlas.net/images/400/ABCD5.jpg
"melanoma, lentigo maligna",http://www.dermatlas.net/images/400/ABCD3.jpg
"melanoma, nodular",http://www.dermatlas.net/images/400/ABCD2.jpg
"melanoma, lentigo maligna",http://www.dermatlas.net/images/400/ABCD11.jpg
"melanoma, superficial spreading",http://www.dermatlas.net/images/400/438Melanoma_axilla2.jpg
benign,http://dermatology.about.com/od/benignlesions/ig/Moles/Light-Raised-Mole.htm
benign,http://0.tqn.com/d/dermatology/1/0/B/9/molelightA500.jpg
benign,http://0.tqn.com/d/dermatology/1/0/A/9/molefleshcolored.jpg
benign,http://0.tqn.com/d/dermatology/1/0/9/9/molefleshB500.jpg
benign,http://0.tqn.com/d/dermatology/1/0/8/9/moleflat500.jpg
benign,http://0.tqn.com/d/dermatology/1/0/7/9/molebulbD500.jpg
benign,http://0.tqn.com/d/dermatology/1/0/5/9/molebulbB500.jpg
benign,http://0.tqn.com/d/dermatology/1/0/2/9/MoleA500.jpg
benign,http://publicassets.s3.amazonaws.com/GVFI/benign/53287781.jpg
benign,http://publicassets.s3.amazonaws.com/GVFI/benign/asym-nl.jpg
benign,http://publicassets.s3.amazonaws.com/GVFI/benign/benign%20raised%20pigmented%20mole.jpg
benign,http://publicassets.s3.amazonaws.com/GVFI/benign/benign_mole.png
benign,http://publicassets.s3.amazonaws.com/GVFI/benign/birthmark.jpg
benign,http://publicassets.s3.amazonaws.com/GVFI/benign/Blog%20Mole_0.jpg
benign,http://publicassets.s3.amazonaws.com/GVFI/benign/border-nl.jpg
benign,http://publicassets.s3.amazonaws.com/GVFI/benign/color-nl.jpg
benign,http://publicassets.s3.amazonaws.com/GVFI/benign/diam-nl.jpg
benign,http://publicassets.s3.amazonaws.com/GVFI/benign/mole%20on%20leg.jpg
benign,http://publicassets.s3.amazonaws.com/GVFI/benign/Mole.jpg
benign,http://publicassets.s3.amazonaws.com/GVFI/benign/MoleA500.jpg
benign,http://publicassets.s3.amazonaws.com/GVFI/benign/normal-mole-150x150.jpg
benign,http://publicassets.s3.amazonaws.com/GVFI/benign/normal-mole-300x194.jpg
benign,http://publicassets.s3.amazonaws.com/GVFI/benign/normal-mole3.jpg
benign,http://publicassets.s3.amazonaws.com/GVFI/benign/phototake_rm_mole_on_back_of_neck.jpg
benign,http://publicassets.s3.amazonaws.com/GVFI/benign/small-diameter.jpg
